Date,Call Volume,CCT,Service Level,Abandon Rate
01/01/24,2147.0,302.45,0.9854999999999999,0.0037
01/02/24,7458.0,349.22,0.5213,0.11359999999999999
01/03/24,6882.0,331.07,0.7045999999999999,0.0432
01/04/24,6208.0,341.8,0.72,0.0403
01/05/24,6190.0,334.56,0.8062999999999999,0.0291
01/06/24,3529.0,323.18,0.9673,0.0034000000000000002
01/07/24,1611.0,269.32,0.9706999999999999,0.005600000000000001
01/08/24,6688.0,343.75,0.8036,0.0173
01/09/24,5126.0,334.94,0.9122,0.009000000000000001
01/10/24,5793.0,340.56,0.8879,0.0097
01/11/24,5408.0,324.22,0.9274,0.0089
01/12/24,4902.0,333.5,0.963,0.006500000000000001
01/13/24,3337.0,316.16,0.9426000000000001,0.0087
01/14/24,1370.0,274.25,0.9712999999999999,0.0066
01/15/24,4046.0,326.06,0.966,0.0044
01/16/24,4893.0,339.49,0.9666,0.0039000000000000003
01/17/24,5538.0,327.6,0.9020999999999999,0.008100000000000001
01/18/24,5059.0,325.83,0.8212999999999999,0.019
01/19/24,5267.0,330.49,0.8563,0.013999999999999999
01/20/24,3569.0,320.37,0.9251999999999999,0.0073
01/21/24,1327.0,295.66,0.9281999999999999,0.0098
01/22/24,5740.0,333.27,0.9354,0.009399999999999999
01/23/24,5443.0,333.75,0.9212,0.0064
01/24/24,5136.0,327.31,0.9313500000000001,0.0101
01/25/24,5276.0,321.68,0.9125,0.0127
01/26/24,4982.0,322.34,0.8678,0.014499999999999999
01/27/24,3440.0,299.77,0.9711,0.0034999999999999996
01/28/24,1462.0,270.0,0.8916,0.0089
01/29/24,5399.0,321.72,0.9643,0.0043
01/30/24,5202.0,310.12,0.9212,0.0052
01/31/24,5687.0,315.97,0.8209000000000001,0.0213
02/01/24,6089.0,279.87,0.9570000000000001,0.0055000000000000005
02/02/24,5955.0,314.45,0.8893000000000001,0.0131
02/03/24,3884.0,327.51,0.851,0.0233
02/04/24,1483.0,324.53,0.943,0.0092
02/05/24,6622.0,297.62,0.9697,0.0096
02/06/24,5655.0,341.61,0.9326000000000001,0.0078000000000000005
02/07/24,5199.0,327.75,0.8956999999999999,0.010700000000000001
02/08/24,5131.0,317.4,0.9512,0.005699999999999999
02/09/24,4687.0,308.97,0.9945999999999999,0.002
02/10/24,3300.0,329.39,0.9887999999999999,0.0027
02/11/24,1237.0,305.5,0.9305,0.0064
02/12/24,4941.0,287.65,0.9558,0.0073
02/13/24,4997.0,331.31,0.9367,0.0063
02/14/24,4746.0,326.21,0.9534,0.0072
02/15/24,4684.0,331.78,0.9120999999999999,0.008
02/16/24,4776.0,319.01,0.9097,0.013999999999999999
02/17/24,3337.0,328.52,0.9317,0.0089
02/18/24,1348.0,303.38,0.8697,0.0178
02/19/24,4745.0,292.52,0.9645,0.0043
02/20/24,4913.0,317.84,0.9898,0.001
02/21/24,4793.0,328.07,0.9312,0.0077
02/22/24,4556.0,337.22,0.8779,0.013600000000000001
02/23/24,4813.0,327.4,0.9085,0.0095
02/24/24,3054.0,323.73,0.9076000000000001,0.0068000000000000005
02/25/24,1399.0,298.79,0.8440000000000001,0.0218
02/26/24,4897.0,282.1,0.9497,0.0055000000000000005
02/27/24,4512.0,326.8,0.9358,0.0054
02/28/24,4523.0,310.92,0.9840000000000001,0.0011
02/29/24,4972.0,318.99,0.951,0.0054
03/01/24,5476.0,324.84,0.9311,0.0087
03/02/24,3825.0,330.3,0.8887999999999999,0.011200000000000002
03/03/24,1387.0,317.56,0.7931,0.0274
03/04/24,5347.0,307.42,0.8495999999999999,0.020499999999999997
03/05/24,5043.0,308.7,0.8427,0.0165
03/06/24,4653.0,275.76,0.94,0.0115
03/07/24,4489.0,325.52,0.7390000000000001,0.0331
03/08/24,4496.0,321.56,0.9301999999999999,0.0070999999999999995
03/09/24,2961.0,313.31,0.9521,0.004
03/10/24,1211.0,307.87,0.951,0.006
03/11/24,5459.0,314.33,0.8967,0.0102
03/12/24,4542.0,302.6,0.95,0.0055000000000000005
03/13/24,4587.0,277.99,0.9582999999999999,0.0121
03/14/24,4573.0,316.67,0.9118,0.0060999999999999995
03/15/24,4285.0,328.52,0.9044,0.0074
03/16/24,3425.0,300.7,0.9251999999999999,0.0118
03/17/24,1488.0,309.27,0.9022,0.0092
03/18/24,5367.0,303.8,0.9395,0.0069
03/19/24,5017.0,306.58,0.8767,0.0132
03/20/24,5233.0,286.11,0.8981,0.0171
03/21/24,4773.0,308.82,0.9388,0.0048
03/22/24,4702.0,307.17,0.9284,0.0106
03/23/24,3707.0,314.44,0.9146,0.0083
03/24/24,1476.0,312.19,0.9035,0.0083
