Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Date,DateTime
April,1,0:00,1.0,5.0,0.0,0.0,137.6,04/01/25,2025-04-01 00:00
April,1,0:30,1.0,5.0,0.0,0.0,263.4,04/01/25,2025-04-01 00:30
April,1,1:00,1.0,4.0,0.0,0.0,333.25,04/01/25,2025-04-01 01:00
April,1,1:30,1.0,3.0,0.0,0.0,170.0,04/01/25,2025-04-01 01:30
April,1,2:00,1.0,1.0,0.0,0.0,667.0,04/01/25,2025-04-01 02:00
April,1,2:30,1.0,4.0,0.0,0.0,416.5,04/01/25,2025-04-01 02:30
April,1,3:00,1.0,1.0,0.0,0.0,128.0,04/01/25,2025-04-01 03:00
April,1,3:30,1.0,4.0,0.0,0.0,158.0,04/01/25,2025-04-01 03:30
April,1,5:00,1.0,3.0,0.0,0.0,59.0,04/01/25,2025-04-01 05:00
April,1,5:30,1.0,2.5,0.0,0.0,178.0,04/01/25,2025-04-01 05:30
April,1,6:00,1.0,1.5,0.0,0.0,181.5,04/01/25,2025-04-01 06:00
April,1,6:30,0.5832999999999999,5.0,0.5,0.5,166.0,04/01/25,2025-04-01 06:30
April,1,7:00,0.72855,6.0,0.0,0.1429,386.83,04/01/25,2025-04-01 07:00
April,1,7:30,0.6625,13.5,0.5,0.0,219.13,04/01/25,2025-04-01 07:30
April,1,8:00,0.89105,42.0,0.0,0.0,256.89,04/01/25,2025-04-01 08:00
April,1,8:30,0.8524,70.0,1.0,0.0,262.6,04/01/25,2025-04-01 08:30
April,1,9:00,0.8818,109.0,1.0,0.0,315.74,04/01/25,2025-04-01 09:00
April,1,9:30,0.9128000000000001,173.0,1.0,0.0058,316.33,04/01/25,2025-04-01 09:30
April,1,10:00,0.9948999999999999,197.0,0.0,0.0,288.58,04/01/25,2025-04-01 10:00
April,1,10:30,0.9864,221.0,0.0,0.0,330.24,04/01/25,2025-04-01 10:30
April,1,11:00,1.0,267.0,0.0,0.0,280.94,04/01/25,2025-04-01 11:00
April,1,11:30,0.9817,273.0,0.0,0.0,322.6,04/01/25,2025-04-01 11:30
April,1,12:00,0.9754,245.0,1.0,0.0040999999999999995,335.5,04/01/25,2025-04-01 12:00
April,1,12:30,0.9571999999999999,258.0,1.0,0.0039000000000000003,284.15,04/01/25,2025-04-01 12:30
April,1,13:00,1.0,239.0,0.0,0.0,321.13,04/01/25,2025-04-01 13:00
April,1,13:30,0.9958,238.0,0.0,0.0,328.56,04/01/25,2025-04-01 13:30
April,1,14:00,0.9963,273.0,0.0,0.0,307.4,04/01/25,2025-04-01 14:00
April,1,14:30,0.9926999999999999,274.0,0.0,0.0,307.11,04/01/25,2025-04-01 14:30
April,1,15:00,0.9725,255.0,0.0,0.0,301.51,04/01/25,2025-04-01 15:00
April,1,15:30,0.9412,259.0,4.0,0.0154,323.3,04/01/25,2025-04-01 15:30
April,1,16:00,0.9883,259.0,2.0,0.0077,326.37,04/01/25,2025-04-01 16:00
April,1,16:30,0.9894,284.0,0.0,0.0,330.98,04/01/25,2025-04-01 16:30
April,1,17:00,0.9843000000000001,254.0,0.0,0.0,332.5,04/01/25,2025-04-01 17:00
April,1,17:30,0.9948,191.0,0.0,0.0,322.13,04/01/25,2025-04-01 17:30
April,1,18:00,0.9939,163.0,0.0,0.0,326.13,04/01/25,2025-04-01 18:00
April,1,18:30,0.7545000000000001,171.0,4.0,0.023399999999999997,336.36,04/01/25,2025-04-01 18:30
April,1,19:00,0.9259000000000001,108.0,0.0,0.0,347.57,04/01/25,2025-04-01 19:00
April,1,19:30,0.96,75.0,0.0,0.0,324.07,04/01/25,2025-04-01 19:30
April,1,20:00,0.9636,56.0,1.0,0.0179,350.62,04/01/25,2025-04-01 20:00
April,1,20:30,0.7541,66.0,5.0,0.0758,350.28,04/01/25,2025-04-01 20:30
April,1,21:00,0.6957,48.0,2.0,0.0417,387.59,04/01/25,2025-04-01 21:00
April,1,21:30,1.0,26.0,0.0,0.0,291.92,04/01/25,2025-04-01 21:30
April,1,22:00,1.0,27.0,0.0,0.0,269.37,04/01/25,2025-04-01 22:00
April,1,22:30,0.6364,13.0,2.0,0.15380000000000002,192.36,04/01/25,2025-04-01 22:30
April,1,23:00,0.8462000000000001,14.0,1.0,0.07139999999999999,334.46,04/01/25,2025-04-01 23:00
April,1,23:30,1.0,13.0,0.0,0.0,260.31,04/01/25,2025-04-01 23:30
April,2,0:00,1.0,5.0,0.0,0.0,327.6,04/02/25,2025-04-02 00:00
April,2,0:30,1.0,7.0,0.0,0.0,242.29,04/02/25,2025-04-02 00:30
April,2,1:00,1.0,2.0,0.0,0.0,355.5,04/02/25,2025-04-02 01:00
April,2,1:30,1.0,6.0,0.0,0.0,258.0,04/02/25,2025-04-02 01:30
April,2,2:00,1.0,3.0,0.0,0.0,273.67,04/02/25,2025-04-02 02:00
April,2,2:30,1.0,1.0,0.0,0.0,200.0,04/02/25,2025-04-02 02:30
April,2,3:00,1.0,3.0,0.0,0.0,309.33,04/02/25,2025-04-02 03:00
April,2,4:00,1.0,1.0,0.0,0.0,269.0,04/02/25,2025-04-02 04:00
April,2,5:00,1.0,1.0,0.0,0.0,196.0,04/02/25,2025-04-02 05:00
April,2,5:30,1.0,2.0,0.0,0.0,469.5,04/02/25,2025-04-02 05:30
April,2,6:00,1.0,1.0,0.0,0.0,1085.0,04/02/25,2025-04-02 06:00
April,2,6:30,1.0,1.0,0.0,0.0,155.0,04/02/25,2025-04-02 06:30
April,2,7:00,1.0,8.0,0.0,0.0,145.88,04/02/25,2025-04-02 07:00
April,2,7:30,0.8332999999999999,12.0,0.0,0.0,321.42,04/02/25,2025-04-02 07:30
April,2,8:00,0.9762000000000001,42.0,0.0,0.0,268.95,04/02/25,2025-04-02 08:00
April,2,8:30,0.642,84.0,3.0,0.035699999999999996,249.33,04/02/25,2025-04-02 08:30
April,2,9:00,0.7281,118.0,4.0,0.0339,312.5,04/02/25,2025-04-02 09:00
April,2,9:30,0.698,150.0,1.0,0.0067,322.62,04/02/25,2025-04-02 09:30
April,2,10:00,0.9825,171.0,0.0,0.0,282.39,04/02/25,2025-04-02 10:00
April,2,10:30,0.9582999999999999,192.0,0.0,0.0,307.71,04/02/25,2025-04-02 10:30
April,2,11:00,0.9195,240.0,4.0,0.0167,329.61,04/02/25,2025-04-02 11:00
April,2,11:30,0.8332999999999999,235.0,1.0,0.0043,345.16,04/02/25,2025-04-02 11:30
April,2,12:00,0.9873999999999999,240.0,1.0,0.0042,344.82,04/02/25,2025-04-02 12:00
April,2,12:30,0.8423,246.0,5.0,0.0203,332.64,04/02/25,2025-04-02 12:30
April,2,13:00,0.888,241.0,0.0,0.0,322.92,04/02/25,2025-04-02 13:00
April,2,13:30,0.9634,273.0,0.0,0.0,304.0,04/02/25,2025-04-02 13:30
April,2,14:00,0.9964,275.0,0.0,0.0,339.43,04/02/25,2025-04-02 14:00
April,2,14:30,0.996,253.0,0.0,0.0,292.37,04/02/25,2025-04-02 14:30
April,2,15:00,0.9515,268.0,0.0,0.0,351.72,04/02/25,2025-04-02 15:00
April,2,15:30,0.9609000000000001,263.0,7.0,0.026600000000000002,320.33,04/02/25,2025-04-02 15:30
April,2,16:00,0.7942,244.0,1.0,0.0040999999999999995,357.62,04/02/25,2025-04-02 16:00
April,2,16:30,0.9959,244.0,1.0,0.0040999999999999995,321.67,04/02/25,2025-04-02 16:30
April,2,17:00,0.9953,211.0,0.0,0.0,328.45,04/02/25,2025-04-02 17:00
April,2,17:30,1.0,175.0,0.0,0.0,356.8,04/02/25,2025-04-02 17:30
April,2,18:00,0.9873999999999999,159.0,0.0,0.0,304.06,04/02/25,2025-04-02 18:00
April,2,18:30,1.0,157.0,0.0,0.0,353.96,04/02/25,2025-04-02 18:30
April,2,19:00,1.0,81.0,0.0,0.0,355.14,04/02/25,2025-04-02 19:00
April,2,19:30,1.0,73.0,0.0,0.0,319.52,04/02/25,2025-04-02 19:30
April,2,20:00,1.0,62.0,0.0,0.0,326.77,04/02/25,2025-04-02 20:00
April,2,20:30,0.9783,46.0,0.0,0.0,282.54,04/02/25,2025-04-02 20:30
April,2,21:00,1.0,39.0,0.0,0.0,239.31,04/02/25,2025-04-02 21:00
April,2,21:30,1.0,24.0,0.0,0.0,320.29,04/02/25,2025-04-02 21:30
April,2,22:00,1.0,20.0,0.0,0.0,297.5,04/02/25,2025-04-02 22:00
April,2,22:30,0.4375,16.0,0.0,0.0,258.94,04/02/25,2025-04-02 22:30
April,2,23:00,0.8,15.0,0.0,0.0,342.67,04/02/25,2025-04-02 23:00
