Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Date,DateTime
April,1,0:00,1.0,22.0,0.0,0.0,480.05,04/01/25,2025-04-01 00:00
April,1,0:30,0.9523999999999999,21.0,0.0,0.0,301.71,04/01/25,2025-04-01 00:30
April,1,1:00,1.0,8.0,0.0,0.0,501.88,04/01/25,2025-04-01 01:00
April,1,1:30,1.0,4.0,0.0,0.0,468.75,04/01/25,2025-04-01 01:30
April,1,2:00,1.0,4.0,0.0,0.0,285.5,04/01/25,2025-04-01 02:00
April,1,2:30,1.0,3.0,0.0,0.0,243.33,04/01/25,2025-04-01 02:30
April,1,3:00,1.0,3.0,0.0,0.0,313.67,04/01/25,2025-04-01 03:00
April,1,3:30,1.0,1.0,0.0,0.0,284.0,04/01/25,2025-04-01 03:30
April,1,4:00,1.0,1.0,0.0,0.0,60.0,04/01/25,2025-04-01 04:00
April,1,4:30,1.0,2.0,0.0,0.0,378.5,04/01/25,2025-04-01 04:30
April,1,5:00,1.0,1.0,0.0,0.0,134.0,04/01/25,2025-04-01 05:00
April,1,5:30,1.0,5.0,0.0,0.0,203.8,04/01/25,2025-04-01 05:30
April,1,6:00,1.0,3.0,0.0,0.0,232.33,04/01/25,2025-04-01 06:00
April,1,6:30,1.0,5.0,2.0,0.4,149.0,04/01/25,2025-04-01 06:30
April,1,7:00,0.8946999999999999,19.0,0.0,0.0,338.84,04/01/25,2025-04-01 07:00
April,1,7:30,0.9677,31.0,0.0,0.0,347.55,04/01/25,2025-04-01 07:30
April,1,8:00,1.0,64.0,0.0,0.0,247.95,04/01/25,2025-04-01 08:00
April,1,8:30,1.0,111.0,3.0,0.027000000000000003,309.07,04/01/25,2025-04-01 08:30
April,1,9:00,1.0,144.0,0.0,0.0,306.46,04/01/25,2025-04-01 09:00
April,1,9:30,0.996,253.0,0.0,0.0,297.44,04/01/25,2025-04-01 09:30
April,1,10:00,0.9853000000000001,275.0,2.0,0.0073,295.53,04/01/25,2025-04-01 10:00
April,1,10:30,0.9106000000000001,304.0,2.0,0.0066,328.72,04/01/25,2025-04-01 10:30
April,1,11:00,0.9246,347.0,2.0,0.0058,334.68,04/01/25,2025-04-01 11:00
April,1,11:30,0.8852,400.0,8.0,0.02,307.29,04/01/25,2025-04-01 11:30
April,1,12:00,0.9168999999999999,424.0,3.0,0.0070999999999999995,345.98,04/01/25,2025-04-01 12:00
April,1,12:30,0.9789,382.0,2.0,0.0052,351.69,04/01/25,2025-04-01 12:30
April,1,13:00,0.9636,467.0,0.0,0.0,348.8,04/01/25,2025-04-01 13:00
April,1,13:30,0.8608,434.0,3.0,0.0069,348.35,04/01/25,2025-04-01 13:30
April,1,14:00,0.9865,447.0,3.0,0.0067,319.33,04/01/25,2025-04-01 14:00
April,1,14:30,0.6572,508.0,15.0,0.029500000000000002,343.38,04/01/25,2025-04-01 14:30
April,1,15:00,0.9875,481.0,1.0,0.0021,319.81,04/01/25,2025-04-01 15:00
April,1,15:30,0.9956999999999999,462.0,0.0,0.0,351.58,04/01/25,2025-04-01 15:30
April,1,16:00,0.9736,416.0,0.0,0.0,369.78,04/01/25,2025-04-01 16:00
April,1,16:30,0.9879000000000001,412.0,0.0,0.0,329.54,04/01/25,2025-04-01 16:30
April,1,17:00,0.8295,440.0,6.0,0.013600000000000001,332.2,04/01/25,2025-04-01 17:00
April,1,17:30,0.9849,400.0,2.0,0.005,350.52,04/01/25,2025-04-01 17:30
April,1,18:00,0.7628,393.0,1.0,0.0025,337.72,04/01/25,2025-04-01 18:00
