Date,Call Volume,CCT,Service Level,Abandon Rate
01/01/24,8059.0,333.48,0.9984000000000001,0.0014000000000000002
01/02/24,30738.0,370.36,0.5464,0.1005
01/03/24,29358.0,369.6,0.5153,0.0738
01/04/24,27542.0,372.0,0.6335999999999999,0.0451
01/05/24,25956.0,375.03,0.7092,0.0273
01/06/24,15373.0,358.6,0.9056000000000001,0.0077
01/07/24,10227.0,341.49,0.9773999999999999,0.006
01/08/24,26843.0,372.41,0.8165,0.0174
01/09/24,23764.0,367.39,0.9426000000000001,0.0069
01/10/24,24517.0,360.0,0.9346,0.0060999999999999995
01/11/24,23248.0,357.9,0.9523999999999999,0.0078000000000000005
01/12/24,22622.0,360.63,0.9595,0.006500000000000001
01/13/24,15336.0,356.55,0.8684000000000001,0.012
01/14/24,9785.0,331.6,0.9676,0.0123
01/15/24,18890.0,349.88,0.9918,0.0022
01/16/24,23325.0,355.54,0.9741,0.0048
01/17/24,24708.0,362.67,0.8573999999999999,0.0116
01/18/24,22867.0,361.02,0.8917,0.0132
01/19/24,24245.0,370.88,0.7476999999999999,0.0212
01/20/24,15539.0,355.82,0.8427,0.0116
01/21/24,10274.0,348.21,0.9236,0.011000000000000001
01/22/24,25355.0,366.46,0.8493999999999999,0.0097
01/23/24,23760.0,349.29,0.9534999999999999,0.0048
01/24/24,23576.0,352.31,0.9201999999999999,0.004699999999999999
01/25/24,23159.0,346.9,0.8587,0.009399999999999999
01/26/24,21953.0,350.61,0.8748999999999999,0.0064
01/27/24,15160.0,345.61,0.8564,0.0085
01/28/24,9395.0,315.12,0.9523999999999999,0.0032
01/29/24,24402.0,353.25,0.9623999999999999,0.0039000000000000003
01/30/24,22952.0,346.11,0.9423,0.0039000000000000003
01/31/24,23564.0,342.53,0.8365,0.009899999999999999
02/01/24,26582.0,316.06,0.9954000000000001,0.0021
02/02/24,26681.0,357.08,0.7844,0.0451
02/03/24,18320.0,353.6,0.7582,0.043899999999999995
02/04/24,11629.0,339.73,0.8832,0.0239
02/05/24,29469.0,323.03,0.9395,0.006999999999999999
02/06/24,25766.0,350.82,0.9274,0.0051
02/07/24,23366.0,353.82,0.9793999999999999,0.0034000000000000002
02/08/24,22637.0,349.61,0.9753000000000001,0.0028000000000000004
02/09/24,22877.0,351.39,0.9971,0.0009
02/10/24,15620.0,353.66,0.9427,0.0048
02/11/24,9000.0,344.71,0.7265,0.0507
02/12/24,26633.0,331.36,0.9095,0.0087
02/13/24,24292.0,355.25,0.9647,0.0026
02/14/24,21927.0,350.43,0.9834,0.0021
02/15/24,23778.0,340.66,0.9631000000000001,0.0046
02/16/24,23890.0,349.39,0.9525,0.0053
02/17/24,15746.0,344.78,0.8973,0.0075
02/18/24,10566.0,339.47,0.682,0.0363
02/19/24,21776.0,322.36,0.9883,0.0028000000000000004
02/20/24,24935.0,333.02,0.975,0.003
02/21/24,25750.0,344.11,0.9699,0.0027
02/22/24,23207.0,346.3,0.9074,0.0076
02/23/24,23859.0,346.31,0.9070999999999999,0.008100000000000001
02/24/24,16050.0,344.02,0.8792,0.0073
02/25/24,10748.0,325.63,0.7958,0.0182
02/26/24,25836.0,310.79,0.985,0.003
02/27/24,23300.0,344.14,0.9340999999999999,0.0043
02/28/24,24038.0,333.22,0.9689,0.0034999999999999996
02/29/24,25323.0,335.04,0.8728,0.0095
03/01/24,28366.0,338.36,0.8608,0.009399999999999999
03/02/24,17714.0,336.89,0.7481,0.0212
03/03/24,11310.0,353.54,0.7676000000000001,0.018500000000000003
03/04/24,29975.0,349.61,0.7256,0.0199
03/05/24,26921.0,368.85,0.4338,0.087
03/06/24,25161.0,341.41,0.7701,0.0206
03/07/24,25192.0,370.13,0.6795,0.0298
03/08/24,24007.0,353.49,0.9243000000000001,0.0063
03/09/24,15871.0,349.04,0.9434,0.0044
03/10/24,10137.0,351.75,0.9158,0.0063
03/11/24,26734.0,358.05,0.9275,0.0055000000000000005
03/12/24,24755.0,339.13,0.9118999999999999,0.006999999999999999
03/13/24,24673.0,319.56,0.9695999999999999,0.0037
03/14/24,23425.0,356.01,0.8487,0.009899999999999999
03/15/24,23743.0,358.17,0.8663,0.0137
03/16/24,15497.0,349.48,0.8708,0.0085
03/17/24,10269.0,354.0,0.8161,0.0179
03/18/24,27636.0,350.29,0.9124,0.0070999999999999995
03/19/24,25622.0,345.23,0.8361,0.0126
03/20/24,24587.0,333.98,0.8895000000000001,0.0138
03/21/24,23634.0,351.31,0.9797,0.0027
03/22/24,22057.0,351.41,0.9209,0.009000000000000001
03/23/24,15327.0,348.2,0.7946,0.0175
03/24/24,9721.0,350.39,0.8937999999999999,0.011000000000000001
03/25/24,25652.0,364.45,0.8159000000000001,0.0124
03/26/24,22301.0,344.07,0.9215000000000001,0.0059
03/27/24,23706.0,328.72,0.894,0.0232
03/28/24,22732.0,361.56,0.9135,0.0046
03/29/24,20764.0,349.12,0.978,0.0032
03/30/24,13639.0,344.95,0.8012999999999999,0.0123
03/31/24,5386.0,342.72,0.6537000000000001,0.0277
04/01/24,29720.0,333.02,0.8131999999999999,0.016200000000000003
04/02/24,25859.0,325.28,0.9511,0.0059
04/03/24,27131.0,342.7,0.87,0.0103
04/04/24,26121.0,342.31,0.9558,0.004
04/05/24,23967.0,345.6,0.9281,0.0055000000000000005
04/06/24,15682.0,348.42,0.9468000000000001,0.0040999999999999995
04/07/24,10086.0,341.6,0.8572,0.011699999999999999
04/08/24,24508.0,333.78,0.7231000000000001,0.0581
04/09/24,24075.0,319.58,0.9983,0.0009
04/10/24,23852.0,349.61,0.9715,0.003
04/11/24,22754.0,338.62,0.9712999999999999,0.0032
04/12/24,23285.0,342.42,0.9505,0.0043
04/13/24,15083.0,342.85,0.9116,0.0073
04/14/24,10515.0,344.05,0.8101999999999999,0.0111
04/15/24,26959.0,334.11,0.7974,0.0337
04/16/24,24484.0,320.71,0.9864,0.0024
04/17/24,23809.0,332.04,0.981,0.0027
04/18/24,22808.0,338.61,0.9279000000000001,0.0073
04/19/24,22825.0,341.72,0.9164,0.0070999999999999995
04/20/24,15136.0,344.76,0.8542000000000001,0.0106
04/21/24,10505.0,341.32,0.7555,0.0229
04/22/24,26933.0,329.15,0.9275,0.0084
04/23/24,23081.0,314.41,0.9767,0.0031
04/24/24,23098.0,346.97,0.9765,0.0026
