Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Date,DateTime
April,1,0:00,1.0,72.0,0.0,0.0,283.29,04/01/25,2025-04-01 00:00
April,1,0:30,1.0,56.0,0.0,0.0,293.89,04/01/25,2025-04-01 00:30
April,1,1:00,1.0,31.0,0.0,0.0,323.45,04/01/25,2025-04-01 01:00
April,1,1:30,1.0,34.0,0.0,0.0,247.38,04/01/25,2025-04-01 01:30
April,1,2:00,1.0,16.0,0.0,0.0,282.69,04/01/25,2025-04-01 02:00
April,1,2:30,0.9286,14.0,0.0,0.0,293.57,04/01/25,2025-04-01 02:30
April,1,3:00,1.0,11.0,0.0,0.0,198.64,04/01/25,2025-04-01 03:00
April,1,3:30,1.0,13.0,0.0,0.0,272.77,04/01/25,2025-04-01 03:30
April,1,4:00,1.0,8.0,0.0,0.0,467.38,04/01/25,2025-04-01 04:00
April,1,4:30,1.0,12.0,0.0,0.0,122.75,04/01/25,2025-04-01 04:30
April,1,5:00,1.0,17.0,0.0,0.0,283.53,04/01/25,2025-04-01 05:00
April,1,5:30,1.0,20.0,0.0,0.0,275.85,04/01/25,2025-04-01 05:30
April,1,6:00,1.0,34.0,0.0,0.0,301.59,04/01/25,2025-04-01 06:00
April,1,6:30,1.0,34.0,0.0,0.0,224.47,04/01/25,2025-04-01 06:30
April,1,7:00,0.9878,82.0,0.0,0.0,246.26,04/01/25,2025-04-01 07:00
April,1,7:30,0.9609000000000001,128.0,0.0,0.0,280.62,04/01/25,2025-04-01 07:30
April,1,8:00,0.991,223.0,0.0,0.0,287.82,04/01/25,2025-04-01 08:00
April,1,8:30,0.9941,338.0,0.0,0.0,307.67,04/01/25,2025-04-01 08:30
April,1,9:00,0.9648,569.0,1.0,0.0018,301.98,04/01/25,2025-04-01 09:00
April,1,9:30,0.9945,726.0,2.0,0.0028000000000000004,310.58,04/01/25,2025-04-01 09:30
April,1,10:00,0.9914000000000001,813.0,2.0,0.0025,322.72,04/01/25,2025-04-01 10:00
April,1,10:30,0.9693,915.0,4.0,0.0044,325.08,04/01/25,2025-04-01 10:30
April,1,11:00,0.9615,939.0,4.0,0.0043,350.13,04/01/25,2025-04-01 11:00
April,1,11:30,0.9538,1017.0,0.0,0.0,338.27,04/01/25,2025-04-01 11:30
April,1,12:00,0.8962,1046.0,6.0,0.005699999999999999,338.82,04/01/25,2025-04-01 12:00
April,1,12:30,0.9503,1070.0,3.0,0.0028000000000000004,334.74,04/01/25,2025-04-01 12:30
April,1,13:00,0.99,1101.0,1.0,0.0009,346.13,04/01/25,2025-04-01 13:00
April,1,13:30,0.7764,1065.0,14.0,0.0131,323.85,04/01/25,2025-04-01 13:30
April,1,14:00,0.9913,1144.0,0.0,0.0,338.26,04/01/25,2025-04-01 14:00
April,1,14:30,0.9327,1151.0,7.0,0.0060999999999999995,342.38,04/01/25,2025-04-01 14:30
April,1,15:00,0.9818000000000001,1101.0,2.0,0.0018,335.53,04/01/25,2025-04-01 15:00
April,1,15:30,0.9943000000000001,1054.0,2.0,0.0019,349.68,04/01/25,2025-04-01 15:30
April,1,16:00,0.9881,1097.0,2.0,0.0018,358.12,04/01/25,2025-04-01 16:00
April,1,16:30,0.9925,1069.0,1.0,0.0009,348.82,04/01/25,2025-04-01 16:30
April,1,17:00,0.914,1049.0,2.0,0.0019,342.7,04/01/25,2025-04-01 17:00
April,1,17:30,0.963,955.0,9.0,0.009399999999999999,355.31,04/01/25,2025-04-01 17:30
April,1,18:00,0.9253,875.0,5.0,0.005699999999999999,353.11,04/01/25,2025-04-01 18:00
April,1,18:30,0.9865,742.0,0.0,0.0,360.64,04/01/25,2025-04-01 18:30
April,1,19:00,0.8454,732.0,14.0,0.0191,335.24,04/01/25,2025-04-01 19:00
April,1,19:30,0.9661,619.0,0.0,0.0,337.65,04/01/25,2025-04-01 19:30
