Date,Call Volume,CCT,Service Level,Abandon Rate
01/01/24,4380.0,333.91,0.9937999999999999,0.0032
01/02/24,16184.0,348.04,0.5553,0.071
01/03/24,15575.0,333.97,0.5945,0.0679
01/04/24,14393.0,338.91,0.7523000000000001,0.0263
01/05/24,13909.0,339.59,0.9267,0.011399999999999999
01/06/24,8137.0,320.21,0.9681000000000001,0.006500000000000001
01/07/24,5721.0,324.11,0.9662000000000001,0.008
01/08/24,14534.0,342.29,0.8734000000000001,0.0127
01/09/24,13183.0,329.77,0.9591,0.0046
01/10/24,12583.0,328.58,0.9790000000000001,0.004
01/11/24,12066.0,329.57,0.9662999999999999,0.0079
01/12/24,12083.0,336.13,0.9806999999999999,0.009399999999999999
01/13/24,7921.0,330.58,0.9606999999999999,0.0062
01/14/24,5217.0,325.26,0.9465,0.0113
01/15/24,11047.0,330.87,0.9933,0.0021
01/16/24,12264.0,329.23,0.9823000000000001,0.0026
01/17/24,12978.0,328.73,0.9036,0.013300000000000001
01/18/24,12057.0,331.28,0.9243000000000001,0.0091
01/19/24,12780.0,343.43,0.8484,0.0302
01/20/24,8435.0,323.62,0.8941,0.013999999999999999
01/21/24,5399.0,325.5,0.9565,0.0087
01/22/24,13375.0,341.28,0.858,0.0129
01/23/24,12143.0,335.05,0.9292,0.006500000000000001
01/24/24,11498.0,329.11,0.9062,0.0096
01/25/24,12027.0,327.78,0.9142,0.0101
01/26/24,11647.0,323.89,0.9251999999999999,0.01
01/27/24,7670.0,316.51,0.9205,0.010700000000000001
01/28/24,4981.0,309.49,0.9922,0.0018
01/29/24,12322.0,333.01,0.9638,0.0044
01/30/24,11049.0,320.83,0.9601999999999999,0.0046
01/31/24,11194.0,316.56,0.9643999999999999,0.0046
02/01/24,12769.0,301.81,0.9974,0.0043
02/02/24,13560.0,331.1,0.7729,0.0177
02/03/24,9200.0,327.32,0.7820999999999999,0.0208
02/04/24,5813.0,318.92,0.8956999999999999,0.0111
02/05/24,14721.0,310.51,0.9526,0.0067
02/06/24,13267.0,334.11,0.8981,0.0075
02/07/24,11911.0,331.06,0.8986,0.0055000000000000005
02/08/24,11547.0,323.42,0.9776,0.003
02/09/24,11722.0,326.36,0.9754,0.0040999999999999995
02/10/24,7574.0,331.85,0.9621999999999999,0.0051
02/11/24,4632.0,336.74,0.7542,0.0458
02/12/24,12711.0,324.0,0.8628,0.0151
02/13/24,11964.0,333.8,0.9381999999999999,0.0051
02/14/24,10633.0,327.14,0.9895,0.0021
02/15/24,11984.0,328.26,0.9419,0.0052
02/16/24,12318.0,326.67,0.9404,0.0062
02/17/24,8339.0,332.88,0.9041,0.0088
02/18/24,5459.0,321.44,0.7614,0.0246
02/19/24,11086.0,304.94,0.9756,0.0054
02/20/24,12340.0,323.44,0.9834,0.0026
02/21/24,12537.0,336.19,0.9626,0.003
02/22/24,11473.0,339.57,0.9064,0.0063
02/23/24,11267.0,330.76,0.8689,0.008199999999999999
02/24/24,7504.0,328.87,0.8892,0.0074
02/25/24,5274.0,316.14,0.7686,0.0219
02/26/24,12514.0,290.95,0.9768000000000001,0.0055000000000000005
02/27/24,11057.0,331.08,0.9388,0.005
02/28/24,11474.0,322.97,0.9431999999999999,0.0031
02/29/24,11010.0,328.83,0.9196,0.0108
03/01/24,13574.0,320.3,0.9059999999999999,0.0131
03/02/24,9042.0,320.05,0.7698999999999999,0.022099999999999998
03/03/24,6090.0,320.85,0.9328,0.0083
03/04/24,14161.0,321.28,0.9079999999999999,0.013600000000000001
03/05/24,12623.0,320.83,0.7315,0.0296
03/06/24,11873.0,304.22,0.9862000000000001,0.0029
03/07/24,11990.0,335.13,0.7612000000000001,0.026000000000000002
03/08/24,11490.0,325.31,0.9439,0.0064
03/09/24,7968.0,324.2,0.9645,0.0055000000000000005
03/10/24,4945.0,316.39,0.9737,0.004699999999999999
03/11/24,12599.0,313.99,0.9921,0.0029
03/12/24,11500.0,314.93,0.9963,0.0033
03/13/24,11602.0,316.67,0.9833,0.0045000000000000005
03/14/24,10380.0,325.25,0.9348000000000001,0.0076
03/15/24,11310.0,331.46,0.9290999999999999,0.0079
03/16/24,7620.0,325.54,0.9647,0.0051
03/17/24,5239.0,328.38,0.8946,0.0134
03/18/24,13208.0,318.17,0.9511,0.0088
03/19/24,11759.0,313.0,0.9481999999999999,0.0072
03/20/24,12046.0,304.07,0.9460999999999999,0.0075
03/21/24,11396.0,321.84,0.977,0.004699999999999999
03/22/24,11196.0,325.0,0.9226000000000001,0.0124
03/23/24,7499.0,330.04,0.8704000000000001,0.0304
03/24/24,4838.0,323.54,0.9623,0.0064
03/25/24,12699.0,335.28,0.9048,0.0116
03/26/24,11099.0,306.61,0.9767,0.0039000000000000003
03/27/24,11076.0,303.24,0.9743999999999999,0.006999999999999999
03/28/24,10255.0,321.93,0.8941,0.0103
03/29/24,9575.0,325.98,0.9464,0.0072
03/30/24,6318.0,315.43,0.8225,0.020499999999999997
03/31/24,2613.0,321.8,0.7437999999999999,0.0321
04/01/24,13620.0,317.94,0.9178000000000001,0.009000000000000001
04/02/24,13172.0,307.13,0.9631000000000001,0.0072
04/03/24,14129.0,319.13,0.9212,0.006500000000000001
04/04/24,13256.0,325.65,0.9784999999999999,0.0024
04/05/24,12231.0,323.17,0.9769,0.002
04/06/24,8154.0,326.03,0.9392,0.0051
04/07/24,5268.0,319.8,0.9318000000000001,0.006
04/08/24,12462.0,312.02,0.8195,0.0318
04/09/24,12836.0,311.51,0.9876,0.0028000000000000004
04/10/24,12004.0,327.85,0.9562,0.0049
04/11/24,11535.0,325.43,0.9386,0.0054
04/12/24,12014.0,322.46,0.9387000000000001,0.0054
