Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Date,DateTime
April,1,0:00,1.0,30.0,0.0,0.0,306.0,04/01/25,2025-04-01 00:00
April,1,0:30,1.0,29.0,0.0,0.0,353.14,04/01/25,2025-04-01 00:30
April,1,1:00,1.0,25.0,0.0,0.0,373.76,04/01/25,2025-04-01 01:00
April,1,1:30,1.0,9.0,0.0,0.0,364.44,04/01/25,2025-04-01 01:30
April,1,2:00,1.0,4.0,0.0,0.0,276.25,04/01/25,2025-04-01 02:00
April,1,2:30,1.0,9.0,0.0,0.0,300.78,04/01/25,2025-04-01 02:30
April,1,3:00,1.0,3.0,0.0,0.0,218.33,04/01/25,2025-04-01 03:00
April,1,3:30,1.0,0.0,0.0,0.0,0.0,04/01/25,2025-04-01 03:30
April,1,4:00,1.0,0.0,0.0,0.0,0.0,04/01/25,2025-04-01 04:00
April,1,4:30,1.0,0.0,0.0,0.0,0.0,04/01/25,2025-04-01 04:30
April,1,5:00,1.0,1.0,0.0,0.0,172.0,04/01/25,2025-04-01 05:00
April,1,5:30,1.0,0.0,0.0,0.0,0.0,04/01/25,2025-04-01 05:30
April,1,6:00,0.9286,14.0,0.0,0.0,267.07,04/01/25,2025-04-01 06:00
April,1,6:30,1.0,28.0,0.0,0.0,307.25,04/01/25,2025-04-01 06:30
April,1,7:00,0.9655,30.0,1.0,0.0333,244.93,04/01/25,2025-04-01 07:00
April,1,7:30,1.0,64.0,0.0,0.0,248.38,04/01/25,2025-04-01 07:30
April,1,8:00,1.0,104.0,1.0,0.0096,276.15,04/01/25,2025-04-01 08:00
April,1,8:30,0.9712999999999999,175.0,1.0,0.005699999999999999,242.67,04/01/25,2025-04-01 08:30
April,1,9:00,0.9734,263.0,0.0,0.0,281.82,04/01/25,2025-04-01 09:00
April,1,9:30,0.9024,331.0,3.0,0.0091,279.69,04/01/25,2025-04-01 09:30
April,1,10:00,0.9915999999999999,358.0,2.0,0.005600000000000001,292.06,04/01/25,2025-04-01 10:00
April,1,10:30,0.9125,460.0,3.0,0.006500000000000001,313.13,04/01/25,2025-04-01 10:30
April,1,11:00,0.8645,441.0,13.0,0.029500000000000002,324.51,04/01/25,2025-04-01 11:00
April,1,11:30,0.8178,542.0,4.0,0.0074,314.64,04/01/25,2025-04-01 11:30
April,1,12:00,0.9963,540.0,3.0,0.005600000000000001,323.31,04/01/25,2025-04-01 12:00
April,1,12:30,0.9773999999999999,538.0,6.0,0.011200000000000002,326.03,04/01/25,2025-04-01 12:30
April,1,13:00,0.8867,569.0,4.0,0.006999999999999999,316.46,04/01/25,2025-04-01 13:00
April,1,13:30,0.8327,512.0,10.0,0.0195,320.57,04/01/25,2025-04-01 13:30
April,1,14:00,0.9691,555.0,4.0,0.0072,320.33,04/01/25,2025-04-01 14:00
April,1,14:30,0.9854999999999999,552.0,2.0,0.0036,317.62,04/01/25,2025-04-01 14:30
April,1,15:00,0.9908,548.0,2.0,0.0036,315.15,04/01/25,2025-04-01 15:00
April,1,15:30,0.9840000000000001,503.0,2.0,0.004,297.38,04/01/25,2025-04-01 15:30
April,1,16:00,0.9618000000000001,577.0,1.0,0.0017000000000000001,301.41,04/01/25,2025-04-01 16:00
April,1,16:30,0.9906999999999999,545.0,6.0,0.011000000000000001,314.94,04/01/25,2025-04-01 16:30
April,1,17:00,0.9853000000000001,478.0,2.0,0.0042,341.33,04/01/25,2025-04-01 17:00
April,1,17:30,0.9978,465.0,0.0,0.0,313.75,04/01/25,2025-04-01 17:30
April,1,18:00,0.9769,434.0,1.0,0.0023,313.12,04/01/25,2025-04-01 18:00
April,1,18:30,0.9872,391.0,1.0,0.0026,325.36,04/01/25,2025-04-01 18:30
April,1,19:00,0.9587,341.0,2.0,0.0059,323.32,04/01/25,2025-04-01 19:00
April,1,19:30,0.9688,324.0,3.0,0.009300000000000001,319.76,04/01/25,2025-04-01 19:30
April,1,20:00,0.9579000000000001,263.0,2.0,0.0076,321.76,04/01/25,2025-04-01 20:00
April,1,20:30,0.9279999999999999,252.0,2.0,0.0079,315.81,04/01/25,2025-04-01 20:30
April,1,21:00,1.0,196.0,0.0,0.0,279.84,04/01/25,2025-04-01 21:00
April,1,21:30,1.0,156.0,1.0,0.0064,306.11,04/01/25,2025-04-01 21:30
April,1,22:00,1.0,110.0,0.0,0.0,327.23,04/01/25,2025-04-01 22:00
April,1,22:30,0.9423,105.0,1.0,0.0095,298.99,04/01/25,2025-04-01 22:30
April,1,23:00,0.9856999999999999,70.0,0.0,0.0,328.16,04/01/25,2025-04-01 23:00
April,1,23:30,1.0,46.0,0.0,0.0,290.85,04/01/25,2025-04-01 23:30
April,2,0:00,1.0,44.0,0.0,0.0,294.68,04/02/25,2025-04-02 00:00
April,2,0:30,1.0,36.0,0.0,0.0,452.25,04/02/25,2025-04-02 00:30
April,2,1:00,1.0,26.0,0.0,0.0,505.65,04/02/25,2025-04-02 01:00
April,2,1:30,1.0,18.0,1.0,0.0556,305.71,04/02/25,2025-04-02 01:30
April,2,2:00,1.0,7.0,0.0,0.0,313.14,04/02/25,2025-04-02 02:00
April,2,2:30,1.0,10.0,1.0,0.1,363.11,04/02/25,2025-04-02 02:30
April,2,3:00,1.0,1.0,0.0,0.0,180.0,04/02/25,2025-04-02 03:00
April,2,3:30,1.0,0.0,0.0,0.0,0.0,04/02/25,2025-04-02 03:30
April,2,4:00,1.0,1.0,0.0,0.0,364.0,04/02/25,2025-04-02 04:00
April,2,4:30,1.0,0.0,0.0,0.0,0.0,04/02/25,2025-04-02 04:30
April,2,5:00,1.0,0.0,0.0,0.0,0.0,04/02/25,2025-04-02 05:00
April,2,5:30,1.0,0.0,0.0,0.0,0.0,04/02/25,2025-04-02 05:30
April,2,6:00,1.0,12.0,0.0,0.0,219.75,04/02/25,2025-04-02 06:00
April,2,6:30,1.0,17.0,0.0,0.0,276.76,04/02/25,2025-04-02 06:30
April,2,7:00,1.0,37.0,0.0,0.0,225.97,04/02/25,2025-04-02 07:00
April,2,7:30,0.8308,66.0,1.0,0.0152,256.28,04/02/25,2025-04-02 07:30
April,2,8:00,0.9344,124.0,2.0,0.0161,296.09,04/02/25,2025-04-02 08:00
April,2,8:30,0.9897,194.0,0.0,0.0,294.23,04/02/25,2025-04-02 08:30
April,2,9:00,0.9926,272.0,1.0,0.0037,277.9,04/02/25,2025-04-02 09:00
April,2,9:30,0.932,309.0,0.0,0.0,281.37,04/02/25,2025-04-02 09:30
April,2,10:00,0.9869,382.0,0.0,0.0,293.63,04/02/25,2025-04-02 10:00
April,2,10:30,0.8545999999999999,396.0,4.0,0.0101,298.32,04/02/25,2025-04-02 10:30
April,2,11:00,0.9893000000000001,466.0,0.0,0.0,322.6,04/02/25,2025-04-02 11:00
April,2,11:30,0.9934000000000001,453.0,0.0,0.0,309.21,04/02/25,2025-04-02 11:30
April,2,12:00,0.8961,497.0,6.0,0.0121,315.13,04/02/25,2025-04-02 12:00
April,2,12:30,0.9394,462.0,0.0,0.0,306.85,04/02/25,2025-04-02 12:30
