group,day_of_week,interval,mean_call_volume,std_call_volume,mean_abandoned_calls,std_abandoned_calls,mean_abandoned_rate,std_abandoned_rate,mean_service_level,std_service_level,mean_cct,std_cct,n_observations
A,Monday,00:00,4.2222,2.1289,0.0,0.0,0.0,0.0,1.0,0.0,385.7411,282.1341,11
A,Monday,00:30,2.6667,1.5563,0.0,0.0,0.0,0.0,1.0,0.0,289.9911,99.2846,11
A,Monday,01:00,2.0,1.5811,0.0,0.0,0.0,0.0,1.0,0.0,362.7878,189.8688,11
A,Monday,01:30,0.8571,0.4489,0.0,0.0,0.0,0.0,1.0,0.0,236.1429,197.4512,9
A,Monday,02:00,1.875,1.3084,0.0,0.0,0.0,0.0,1.0,0.0,466.7625,360.8442,10
A,Monday,02:30,2.0,0.5774,0.0,0.0,0.0,0.0,1.0,0.0,306.25,496.1679,4
A,Monday,03:00,0.8,0.4967,0.0,0.0,0.0,0.0,1.0,0.0,124.8,315.6016,7
A,Monday,03:30,1.25,0.8803,0.0,0.0,0.0,0.0,1.0,0.0,257.4575,160.5638,6
A,Monday,04:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,210.0,147.8975,4
A,Monday,04:30,2.0,1.3229,0.0,0.0,0.0,0.0,1.0,0.0,134.6667,101.5263,5
A,Monday,05:00,1.4,0.7659,0.0,0.0,0.0,0.0,1.0,0.0,236.5,168.4367,7
A,Monday,05:30,1.2222,1.7285,0.0,0.3162,0.0,0.1581,1.0,0.0,209.2778,338.6674,11
A,Monday,06:00,2.0,2.0976,0.0,0.0,0.0,0.0,1.0,0.0632,239.7878,180.4739,11
A,Monday,06:30,2.9,1.5291,0.4,0.6822,0.1317,0.1964,0.685,0.2832,208.81,115.0502,12
A,Monday,07:00,6.6,2.4995,0.0,0.3015,0.0,0.0377,0.8215,0.2334,223.174,45.362,12
A,Monday,07:30,12.4,4.8572,0.2,0.6661,0.0122,0.0464,0.8884,0.1561,322.572,97.8073,12
A,Monday,08:00,42.7,11.7112,0.3,0.4936,0.0053,0.0099,0.9555,0.0567,282.561,29.5353,12
A,Monday,08:30,79.4,12.2204,1.0,1.7321,0.0125,0.0217,0.9172,0.0768,306.522,32.5167,12
A,Monday,09:00,124.6,12.0436,0.5,0.5222,0.0039,0.0044,0.9219,0.0625,298.973,26.482,12
A,Monday,09:30,167.3,18.3151,1.0,0.7385,0.006,0.0045,0.9336,0.0503,319.817,24.8812,12
A,Monday,10:00,198.6,23.0953,0.6,0.9779,0.0029,0.0043,0.9481,0.055,321.895,16.953,12
A,Monday,10:30,222.9,20.1912,0.9,1.7715,0.0042,0.0077,0.9538,0.0758,310.068,14.2778,12
A,Monday,11:00,228.3,17.2897,0.3,0.4936,0.0013,0.0021,0.985,0.0252,322.159,15.2478,12
A,Monday,11:30,236.9,21.9141,0.0,0.3015,0.0,0.0012,0.9851,0.0198,333.6735,17.4055,12
A,Monday,12:00,233.2,19.0494,0.8,1.7024,0.0032,0.0072,0.9669,0.028,317.0655,13.7599,12
A,Monday,12:30,241.4,27.3255,0.5,1.0871,0.0022,0.0041,0.9499,0.0524,314.169,20.8092,12
A,Monday,13:00,242.75,27.8155,0.75,2.2714,0.0032,0.0095,0.962,0.0667,310.078,18.5362,12
A,Monday,13:30,239.05,18.9831,0.55,3.2715,0.0022,0.0135,0.9788,0.0972,327.4365,27.9259,12
A,Monday,14:00,246.0,19.8517,0.6,3.5792,0.0029,0.0145,0.9721,0.1084,326.1135,22.05,12
A,Monday,14:30,260.55,22.257,2.6,10.5706,0.0094,0.0397,0.8662,0.2118,327.7675,14.1944,12
A,Monday,15:00,247.25,23.0705,1.0,5.257,0.0041,0.0192,0.93,0.1227,321.8295,15.4716,12
A,Monday,15:30,261.2,23.7879,1.65,2.1882,0.0062,0.0082,0.9154,0.0846,329.904,21.5281,12
A,Monday,16:00,248.45,19.7687,0.4,0.5152,0.0016,0.0022,0.9738,0.0473,337.437,25.5138,12
A,Monday,16:30,242.45,21.0392,0.2,0.6661,0.0009,0.0028,0.9911,0.011,326.4045,19.7234,12
A,Monday,17:00,214.65,23.0171,0.9,1.9753,0.0045,0.0077,0.9692,0.0347,329.9035,19.2058,12
A,Monday,17:30,205.0,23.9678,0.6,0.9779,0.0031,0.0046,0.9465,0.0784,321.227,19.6027,12
A,Monday,18:00,158.0,30.9045,0.4,1.1878,0.0022,0.0076,0.9671,0.0695,311.665,17.7692,12
A,Monday,18:30,149.1,19.2649,0.7,1.569,0.0051,0.0101,0.955,0.0636,336.459,15.2911,12
A,Monday,19:00,97.1,9.9202,0.0,0.3015,0.0,0.0028,0.9759,0.0268,332.393,34.1349,12
A,Monday,19:30,78.9,8.1716,1.0,1.2792,0.0127,0.0161,0.9487,0.0631,335.989,35.1586,12
A,Monday,20:00,56.85,6.7384,0.55,0.7764,0.0094,0.0141,0.9584,0.0333,325.7245,25.9744,12
A,Monday,20:30,42.25,8.6956,1.05,1.1728,0.0233,0.0285,0.9176,0.0877,330.4235,41.262,12
A,Monday,21:00,36.5,9.5108,1.0,1.0,0.0276,0.029,0.9385,0.1011,330.719,44.9285,12
A,Monday,21:30,26.8,6.8879,0.9,1.5172,0.0294,0.0495,0.9584,0.1113,322.867,99.6031,12
A,Monday,22:00,20.3,6.8562,0.0,0.0,0.0,0.0,0.9883,0.0781,326.343,63.6943,12
A,Monday,22:30,14.4,5.3028,2.4,1.9334,0.1631,0.094,0.5068,0.1966,328.497,82.8503,12
A,Monday,23:00,13.6,4.5359,0.4,1.0144,0.0209,0.0722,0.6779,0.2199,304.515,97.6059,12
A,Monday,23:30,8.8,4.0841,0.0,0.0,0.0,0.0,0.9823,0.0566,314.918,117.4341,12
A,Tuesday,00:00,4.8182,1.8335,0.0,0.0,0.0,0.0,1.0,0.0962,372.2482,706.705,13
A,Tuesday,00:30,4.1818,2.3139,0.0,0.0,0.0,0.0,1.0,0.0,290.5082,140.2534,13
A,Tuesday,01:00,2.5455,1.6618,0.0,0.0,0.0,0.0,1.0,0.0,324.0364,228.9944,13
A,Tuesday,01:30,2.0,1.5811,0.0,0.2887,0.0,0.1443,1.0,0.0,233.2655,165.1354,13
A,Tuesday,02:00,1.8571,1.0114,0.0,0.0,0.0,0.0,1.0,0.0,454.5829,215.6454,9
A,Tuesday,02:30,1.3333,1.5239,0.0,0.0,0.0,0.0,1.0,0.0,169.9556,133.2892,11
A,Tuesday,03:00,1.4,0.5354,0.0,0.0,0.0,0.0,1.0,0.0,394.0,427.0401,7
A,Tuesday,03:30,1.5,1.2247,0.0,0.4472,0.0,0.4472,1.0,0.0,211.25,147.6955,6
A,Tuesday,04:00,1.0,1.0801,0.0,0.0,0.0,0.0,1.0,0.0,203.134,150.6893,7
A,Tuesday,04:30,1.75,1.2145,0.0,0.0,0.0,0.0,1.0,0.0,203.71,168.7153,6
A,Tuesday,05:00,2.0,1.1339,0.0,0.0,0.0,0.0,1.0,0.0,204.945,131.0262,8
A,Tuesday,05:30,2.55,1.3049,0.0,0.0,0.0,0.0,1.0,0.1508,228.0,502.5912,12
A,Tuesday,06:00,1.9545,1.3043,0.0,0.0,0.0,0.0,1.0,0.0,296.0664,146.8811,13
A,Tuesday,06:30,4.2727,2.0973,0.3182,0.4746,0.0925,0.1891,0.5539,0.3793,244.9973,210.8763,13
A,Tuesday,07:00,8.0,2.1213,0.0909,0.3812,0.0174,0.0508,0.7387,0.1789,263.18,68.5522,13
A,Tuesday,07:30,14.2273,3.3829,0.2273,0.8861,0.0117,0.0677,0.7613,0.1993,320.7691,80.568,13
A,Tuesday,08:00,44.2727,9.4419,0.1818,0.6439,0.0035,0.0139,0.866,0.0725,271.5318,27.9214,13
A,Tuesday,08:30,78.0909,12.6168,1.2727,1.1986,0.0143,0.0136,0.841,0.1144,298.2782,29.956,13
A,Tuesday,09:00,116.0,14.8183,1.0909,1.7842,0.0086,0.0148,0.9042,0.1117,320.6509,19.3931,13
A,Tuesday,09:30,156.1818,15.5823,1.0909,1.8115,0.007,0.0118,0.9303,0.0693,323.9645,24.0832,13
A,Tuesday,10:00,181.9091,24.8316,0.6364,2.0706,0.0033,0.0106,0.9267,0.1087,317.9855,28.8931,13
A,Tuesday,10:30,199.7273,19.9905,0.3636,0.9844,0.0017,0.0056,0.9647,0.0627,316.58,18.7256,13
A,Tuesday,11:00,212.9091,25.4036,0.8182,1.3048,0.004,0.0059,0.9843,0.0472,320.4318,20.9867,13
A,Tuesday,11:30,227.8182,27.258,0.8182,2.2826,0.0035,0.0097,0.9809,0.0354,323.3082,19.4018,13
A,Tuesday,12:00,229.1818,22.0342,0.5455,1.9297,0.0024,0.0068,0.9716,0.047,324.2055,15.4048,13
A,Tuesday,12:30,227.5455,25.0394,1.3636,2.4908,0.0057,0.0105,0.9166,0.124,314.5282,20.8199,13
A,Tuesday,13:00,229.8182,13.056,0.4545,0.7811,0.0019,0.0033,0.9704,0.0574,318.9909,15.6768,13
A,Tuesday,13:30,222.7273,25.2056,0.2727,1.1601,0.0011,0.0059,0.9776,0.0604,329.8655,24.3566,13
A,Tuesday,14:00,240.0909,22.0885,0.4545,1.8186,0.0017,0.0074,0.9779,0.0837,320.8391,17.3071,13
A,Tuesday,14:30,240.4545,29.421,0.4545,1.9512,0.0021,0.0074,0.9834,0.0759,322.7145,16.4981,13
A,Tuesday,15:00,234.5455,14.1506,0.1818,1.44,0.0008,0.0059,0.9753,0.0331,324.9282,20.8466,13
A,Tuesday,15:30,233.2727,21.4945,1.0,1.5811,0.0042,0.0063,0.9444,0.1116,323.9582,16.0276,13
A,Tuesday,16:00,248.6364,18.4126,1.0909,3.2183,0.0044,0.0125,0.9275,0.1401,333.8045,25.1688,13
A,Tuesday,16:30,226.8182,22.2838,0.0909,0.3812,0.0003,0.0016,0.9864,0.0231,335.2182,20.3344,13
A,Tuesday,17:00,201.2727,20.9387,0.1818,0.6439,0.001,0.0033,0.9899,0.0289,325.04,20.4597,13
A,Tuesday,17:30,170.5455,15.7323,0.0909,0.3812,0.0005,0.0021,0.9791,0.0326,320.4145,23.3105,13
A,Tuesday,18:00,158.9091,11.2432,0.4091,1.012,0.0025,0.0067,0.9742,0.0506,327.8336,29.3783,13
A,Tuesday,18:30,136.8636,14.4568,0.8182,1.3048,0.0065,0.0089,0.9096,0.0957,323.6991,23.14,13
A,Tuesday,19:00,88.6364,7.9406,0.0909,2.0136,0.0009,0.0219,0.9714,0.0868,339.4277,21.1263,13
A,Tuesday,19:30,64.8182,12.919,0.0909,0.6166,0.0012,0.0116,0.9768,0.0226,321.1686,42.8317,13
A,Tuesday,20:00,49.9091,6.858,1.1818,1.2575,0.0213,0.0252,0.9362,0.0689,341.175,33.0109,13
A,Tuesday,20:30,48.2727,8.093,1.3182,2.3721,0.0257,0.0403,0.9159,0.1136,321.0318,32.2086,13
A,Tuesday,21:00,33.6364,9.2216,0.6818,1.1406,0.0173,0.0355,0.9045,0.1161,326.8773,52.5017,13
A,Tuesday,21:30,24.7273,5.2934,0.0909,0.3812,0.0023,0.0138,0.9655,0.0996,312.07,35.0767,13
A,Tuesday,22:00,20.0909,6.1541,0.0,0.0,0.0,0.0,0.9949,0.0613,296.6236,63.3957,13
A,Tuesday,22:30,12.5455,3.9663,2.3636,2.2977,0.156,0.1671,0.6453,0.1348,289.5691,84.5659,13
A,Tuesday,23:00,10.4545,3.506,0.5455,0.8684,0.0512,0.059,0.5376,0.318,340.1882,61.026,13
A,Tuesday,23:30,7.5455,3.1785,0.0,0.0,0.0,0.0,0.8614,0.163,334.5991,104.5698,13
A,Wednesday,00:00,4.9091,1.782,0.0,0.2887,0.0,0.0361,1.0,0.0,264.2064,123.7252,13
A,Wednesday,00:30,2.5455,2.5651,0.0,0.0,0.0,0.0,1.0,0.0,252.1518,216.0034,13
A,Wednesday,01:00,2.1,1.2402,0.0,0.0,0.0,0.0,1.0,0.0,288.916,308.4069,12
A,Wednesday,01:30,2.0,1.6514,0.0,0.0,0.0,0.0,1.0,0.0,292.992,280.5442,12
A,Wednesday,02:00,1.7,1.0392,0.0,0.0,0.0,0.0,1.0,0.0,367.692,293.0736,12
A,Wednesday,02:30,2.125,1.2318,0.0,0.0,0.0,0.0,1.0,0.0,283.2387,64.7902,10
A,Wednesday,03:00,1.875,0.7383,0.0,0.0,0.0,0.0,1.0,0.0,335.25,192.2485,10
A,Wednesday,03:30,1.4286,0.8921,0.0,0.0,0.0,0.0,1.0,0.0,278.5243,179.8888,9
A,Wednesday,04:00,1.4444,0.9343,0.0,0.3162,0.0,0.3162,1.0,0.0,198.5367,239.8369,11
A,Wednesday,04:30,1.6,0.9592,0.0,0.0,0.0,0.0,1.0,0.0,204.666,74.1366,7
A,Wednesday,05:00,1.375,1.3807,0.0,0.0,0.0,0.0,1.0,0.0,280.3587,170.1963,10
A,Wednesday,05:30,1.9091,1.0045,0.0,0.0,0.0,0.0,1.0,0.0,300.5536,154.6507,13
A,Wednesday,06:00,2.1111,1.359,0.0,0.0,0.0,0.0,1.0,0.0791,231.0333,282.0819,11
A,Wednesday,06:30,3.9,1.7817,0.3,0.4936,0.065,0.1123,0.6321,0.2725,267.333,120.5999,12
A,Wednesday,07:00,8.4545,4.5047,0.4545,0.8814,0.03,0.0712,0.6013,0.3176,274.9109,79.4439,13
A,Wednesday,07:30,16.0909,12.9858,0.7273,2.0012,0.0412,0.0497,0.6859,0.1655,311.7509,60.1854,13
A,Wednesday,08:00,47.8182,10.7067,0.8182,0.9603,0.0156,0.0201,0.8406,0.1154,268.9936,27.5596,13
A,Wednesday,08:30,84.6364,15.0597,2.0909,2.9131,0.0242,0.0298,0.7502,0.2051,323.2809,37.8262,13
A,Wednesday,09:00,126.8182,14.2666,2.0909,2.5394,0.0159,0.0201,0.8435,0.1578,306.9373,23.7451,13
A,Wednesday,09:30,154.6364,15.8145,0.9091,2.7444,0.0059,0.0174,0.8722,0.1089,324.3545,21.1465,13
A,Wednesday,10:00,183.0,16.6433,0.9091,1.5403,0.0049,0.0078,0.914,0.0983,308.5655,17.5271,13
