group,day_of_month,interval,mean_call_volume,std_call_volume,mean_abandoned_calls,std_abandoned_calls,mean_abandoned_rate,std_abandoned_rate,mean_service_level,std_service_level,mean_cct,std_cct,n_observations
A,1,00:00,5.5,0.7071,0.0,0.0,0.0,0.0,1.0,0.0,226.8,126.1478,2
A,1,00:30,2.0,2.1213,0.0,0.7071,0.0,0.3536,1.0,0.7071,181.0,83.9643,3
A,1,01:00,3.0,0.7071,0.0,0.7071,0.0,0.2357,1.0,0.7071,323.0,10.6316,3
A,1,01:30,2.0,0.7071,0.0,0.0,0.0,0.0,1.0,0.7071,377.5,167.4101,3
A,1,02:00,2.0,0.7071,0.0,0.0,0.0,0.0,1.0,0.0,260.0,288.8546,3
A,1,02:30,2.0,1.5811,0.0,0.0,0.0,0.0,1.0,0.0,416.5,374.4938,3
A,1,03:00,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0,70.2638,3
A,1,03:30,2.0,1.4142,0.0,0.0,0.0,0.0,1.0,0.0,191.5,32.7586,3
A,1,05:00,1.5,2.1213,0.0,0.0,0.0,0.0,1.0,0.0,29.5,41.7193,2
A,1,05:30,3.0,0.7906,0.0,0.0,0.0,0.0,1.0,0.0,383.33,164.8529,3
A,1,06:00,4.0,2.7613,0.0,2.8284,0.0,0.404,1.0,0.2357,258.0,60.9342,3
A,1,06:30,5.0,2.5495,0.5,2.5,0.5,0.3571,0.5833,0.5069,166.0,250.7074,3
A,1,07:00,6.0,3.5355,0.0,3.5355,0.1429,0.272,0.7286,0.5498,386.83,124.8628,3
A,1,07:30,13.5,7.1589,0.5,1.118,0.0,0.0643,0.6625,0.282,274.75,45.244,3
A,1,08:00,42.0,20.3593,0.0,0.0,0.0,0.0,0.9333,0.0359,232.02,24.5472,3
A,1,08:30,70.0,42.4853,1.0,1.5811,0.0,0.0238,0.8524,0.1969,284.77,43.8864,3
A,1,09:00,109.0,68.7095,1.0,2.2361,0.0,0.0191,0.8818,0.0969,289.45,38.1725,3
A,1,09:30,173.0,102.5914,1.0,2.1213,0.0225,0.0151,0.9128,0.0862,316.33,3.2582,3
A,1,10:00,197.0,124.2014,0.0,3.5355,0.0,0.016,0.9565,0.0788,288.58,51.0233,3
A,1,10:30,221.0,131.3031,0.0,3.5355,0.0,0.0149,0.9444,0.1377,312.83,67.0006,3
A,1,11:00,217.0,141.6616,0.0,0.0,0.0,0.0,1.0,0.0489,280.94,36.8058,3
A,1,11:30,246.0,152.5205,0.0,0.7071,0.0,0.0029,0.9817,0.0919,301.14,35.1827,3
A,1,12:00,245.0,128.4562,1.0,2.2361,0.0041,0.0401,0.9239,0.0392,296.21,28.6767,3
A,1,12:30,258.0,140.7214,1.0,0.7071,0.0039,0.0096,0.9572,0.0106,284.15,19.6607,3
A,1,13:00,239.0,120.9897,0.0,2.1213,0.0,0.0312,0.9918,0.1249,321.13,17.8907,3
A,1,13:30,238.0,113.0708,0.0,3.5355,0.0,0.0139,0.9494,0.0361,283.06,32.2418,3
A,1,14:00,254.0,116.7412,1.0,2.9155,0.0111,0.0099,0.9326,0.0686,307.4,17.5363,3
A,1,14:30,274.0,133.9198,0.0,0.7071,0.0,0.0081,0.9539,0.0274,307.11,13.8006,3
A,1,15:00,255.0,131.6435,0.0,0.0,0.0,0.0,0.9725,0.0219,301.51,33.1279,3
A,1,15:30,238.0,115.5097,2.0,1.5811,0.0154,0.0111,0.9412,0.0437,323.3,47.378,3
A,1,16:00,251.0,125.9921,2.0,2.5495,0.0077,0.0102,0.9431,0.0915,326.37,13.0058,3
A,1,16:30,237.0,111.8258,0.0,0.0,0.0,0.0,0.9894,0.0351,330.98,59.7712,3
A,1,17:00,217.0,111.3059,0.0,0.0,0.0,0.0,0.9844,0.0045,332.5,51.6477,3
A,1,17:30,186.0,79.9812,0.0,0.7071,0.0,0.0097,0.9948,0.0037,305.89,49.2154,3
A,1,18:00,163.0,92.9005,0.0,0.7071,0.0,0.0039,0.9939,0.0121,289.77,32.7328,3
A,1,18:30,137.0,74.686,1.0,2.2361,0.0234,0.0167,0.9722,0.154,327.05,33.3389,3
A,1,19:00,90.0,48.3735,0.0,1.4142,0.0,0.0157,1.0,0.0524,318.41,39.659,3
A,1,19:30,75.0,25.5539,1.0,0.7071,0.0119,0.0125,0.9518,0.0062,313.82,40.4854,3
A,1,20:00,56.0,24.9098,1.0,0.7071,0.0179,0.0245,0.9667,0.0236,315.82,57.0373,3
A,1,20:30,56.0,20.3593,5.0,2.8284,0.0758,0.0796,0.7541,0.3218,350.28,26.5485,3
A,1,21:00,36.0,9.8234,2.0,3.1623,0.0417,0.1205,0.6957,0.4087,293.19,68.5913,3
A,1,21:30,26.0,9.2195,0.0,2.1213,0.0,0.0573,0.8947,0.075,315.76,32.0203,3
A,1,22:00,27.0,2.9155,0.0,0.0,0.0,0.0,0.8571,0.1034,321.64,60.7537,3
A,1,22:30,14.0,1.5811,2.0,3.8079,0.1538,0.2679,0.6364,0.1513,278.44,61.4691,3
A,1,23:00,14.0,2.9155,1.0,3.5355,0.0769,0.1813,0.6667,0.4882,334.46,30.9498,3
A,1,23:30,13.0,4.9497,0.0,0.7071,0.0,0.0544,0.8333,0.2635,260.31,105.7636,3
A,2,00:00,7.0,1.5811,0.0,0.0,0.0,0.0,1.0,0.0,327.6,73.5016,3
A,2,00:30,7.0,4.2426,0.0,0.0,0.0,0.0,1.0,0.0,242.29,76.3355,3
A,2,01:00,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,355.5,206.8092,3
A,2,01:30,3.0,2.5495,0.0,0.0,0.0,0.0,1.0,0.0,198.0,47.6479,3
A,2,02:00,2.0,0.7071,0.0,0.0,0.0,0.0,1.0,0.0,273.67,90.0375,3
A,2,02:30,2.0,0.7071,0.0,0.0,0.0,0.0,1.0,0.0,200.0,450.0625,3
A,2,03:00,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,309.33,220.8425,3
A,2,03:30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,325.0,124.4508,2
A,2,04:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7071,201.0,69.5162,3
A,2,04:30,2.0,1.4142,0.0,0.0,0.0,0.0,1.0,0.0,113.665,20.7394,2
A,2,05:00,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,196.0,176.4741,3
A,2,05:30,5.0,2.2361,0.0,0.0,0.0,0.0,1.0,0.0,283.5,149.5602,3
A,2,06:00,5.0,3.1623,0.0,0.0,0.0,0.0,1.0,0.0,462.6,450.3835,3
A,2,06:30,3.0,2.0,1.0,1.0,0.3333,0.2404,0.6667,0.5271,186.5,136.3027,3
A,2,07:00,11.0,3.5355,0.0,3.5355,0.0,0.2357,0.6364,0.5183,276.6,92.7509,3
A,2,07:30,17.0,4.1231,0.0,0.7071,0.0,0.0416,0.8333,0.429,321.42,101.4772,3
A,2,08:00,66.0,16.9706,1.0,0.7071,0.0152,0.0107,0.9231,0.0375,268.95,22.0298,3
A,2,08:30,86.0,3.1623,2.0,1.0,0.0222,0.0121,0.8409,0.1657,302.88,38.6113,3
A,2,09:00,132.0,10.0,0.0,2.8284,0.0,0.024,0.9621,0.1669,292.43,18.9409,3
A,2,09:30,189.0,27.8029,1.0,0.7071,0.0052,0.0038,0.9577,0.1843,322.62,9.7848,3
A,2,10:00,209.0,37.5033,1.0,1.5811,0.0048,0.0062,0.9825,0.0998,308.67,18.7459,3
A,2,10:30,218.0,24.0832,0.0,1.4142,0.0,0.0059,0.9583,0.1638,315.42,9.7022,3
A,2,11:00,243.0,24.135,0.0,2.8284,0.0,0.0118,0.9819,0.0452,329.61,10.762,3
A,2,11:30,235.0,25.0599,1.0,0.7071,0.0037,0.0027,0.9627,0.094,333.615,24.2047,3
A,2,12:00,240.0,12.083,1.0,1.0,0.0042,0.0039,0.9874,0.0062,314.945,21.6881,3
A,2,12:30,246.0,20.7966,3.0,2.5495,0.0111,0.0102,0.9026,0.0784,306.93,18.3856,3
A,2,13:00,241.0,2.8504,0.0,0.3536,0.0,0.0013,0.9791,0.0645,319.84,7.0685,3
A,2,13:30,259.0,13.2712,0.5,1.118,0.0022,0.0042,0.9962,0.0233,307.045,14.0989,3
