group,Date,day_of_week,interval,interval_abd
A,2025-08-01,Friday,00:00,0.0
A,2025-08-01,Friday,00:30,0.0
A,2025-08-01,Friday,01:00,0.0
A,2025-08-01,Friday,01:30,0.0
A,2025-08-01,Friday,02:00,0.0
A,2025-08-01,Friday,02:30,0.0
A,2025-08-01,Friday,03:00,0.0
A,2025-08-01,Friday,03:30,0.0
A,2025-08-01,Friday,04:00,0.0
A,2025-08-01,Friday,04:30,0.0
A,2025-08-01,Friday,05:00,0.0
A,2025-08-01,Friday,05:30,0.0
A,2025-08-01,Friday,06:00,0.18118
A,2025-08-01,Friday,06:30,0.881693
A,2025-08-01,Friday,07:00,0.462951
A,2025-08-01,Friday,07:30,0.427149
A,2025-08-01,Friday,08:00,0.020437
A,2025-08-01,Friday,08:30,0.004783
A,2025-08-01,Friday,09:00,0.003044
A,2025-08-01,Friday,09:30,0.013045
A,2025-08-01,Friday,10:00,0.002464
A,2025-08-01,Friday,10:30,0.009566
A,2025-08-01,Friday,11:00,0.003769
A,2025-08-01,Friday,11:30,0.003189
A,2025-08-01,Friday,12:00,0.01203
A,2025-08-01,Friday,12:30,0.01174
A,2025-08-01,Friday,13:00,0.013625
A,2025-08-01,Friday,13:30,0.005073
A,2025-08-01,Friday,14:00,0.0
A,2025-08-01,Friday,14:30,0.011885
A,2025-08-01,Friday,15:00,0.011016
A,2025-08-01,Friday,15:30,0.009856
A,2025-08-01,Friday,16:00,0.003334
A,2025-08-01,Friday,16:30,0.003334
A,2025-08-01,Friday,17:00,0.006812
A,2025-08-01,Friday,17:30,0.011161
A,2025-08-01,Friday,18:00,0.013335
A,2025-08-01,Friday,18:30,0.006667
A,2025-08-01,Friday,19:00,0.009566
A,2025-08-01,Friday,19:30,0.004493
A,2025-08-01,Friday,20:00,0.020002
A,2025-08-01,Friday,20:30,0.032467
A,2025-08-01,Friday,21:00,0.071892
A,2025-08-01,Friday,21:30,0.0
A,2025-08-01,Friday,22:00,0.014494
A,2025-08-01,Friday,22:30,0.235679
A,2025-08-01,Friday,23:00,0.088561
A,2025-08-01,Friday,23:30,0.169149
A,2025-08-02,Saturday,00:00,0.034191
A,2025-08-02,Saturday,00:30,0.0
A,2025-08-02,Saturday,01:00,0.121749
A,2025-08-02,Saturday,01:30,0.0
A,2025-08-02,Saturday,02:00,0.0
A,2025-08-02,Saturday,02:30,0.0
A,2025-08-02,Saturday,03:00,0.0
A,2025-08-02,Saturday,03:30,0.0
A,2025-08-02,Saturday,04:00,0.0
A,2025-08-02,Saturday,04:30,0.0
A,2025-08-02,Saturday,05:00,0.0
A,2025-08-02,Saturday,05:30,0.0
A,2025-08-02,Saturday,06:00,0.054793
A,2025-08-02,Saturday,06:30,0.182569
A,2025-08-02,Saturday,07:00,0.123284
A,2025-08-02,Saturday,07:30,0.078244
A,2025-08-02,Saturday,08:00,0.015561
A,2025-08-02,Saturday,08:30,0.0
A,2025-08-02,Saturday,09:00,0.007671
A,2025-08-02,Saturday,09:30,0.007561
A,2025-08-02,Saturday,10:00,0.005479
A,2025-08-02,Saturday,10:30,0.0
A,2025-08-02,Saturday,11:00,0.007123
A,2025-08-02,Saturday,11:30,0.026301
A,2025-08-02,Saturday,12:00,0.048327
A,2025-08-02,Saturday,12:30,0.070025
A,2025-08-02,Saturday,13:00,0.008328
A,2025-08-02,Saturday,13:30,0.003288
A,2025-08-02,Saturday,14:00,0.013479
A,2025-08-02,Saturday,14:30,0.024547
A,2025-08-02,Saturday,15:00,0.008219
A,2025-08-02,Saturday,15:30,0.009644
A,2025-08-02,Saturday,16:00,0.004712
A,2025-08-02,Saturday,16:30,0.0
A,2025-08-02,Saturday,17:00,0.023451
A,2025-08-02,Saturday,17:30,0.037588
A,2025-08-02,Saturday,18:00,0.002959
A,2025-08-02,Saturday,18:30,0.013369
