group,Date,day_of_week,interval,interval_cv
A,2025-08-01,Friday,00:00,7
A,2025-08-01,Friday,00:30,5
A,2025-08-01,Friday,01:00,4
A,2025-08-01,Friday,01:30,3
A,2025-08-01,Friday,02:00,2
A,2025-08-01,Friday,02:30,2
A,2025-08-01,Friday,03:00,1
A,2025-08-01,Friday,03:30,2
A,2025-08-01,Friday,04:00,2
A,2025-08-01,Friday,04:30,1
A,2025-08-01,Friday,05:00,1
A,2025-08-01,Friday,05:30,2
A,2025-08-01,Friday,06:00,3
A,2025-08-01,Friday,06:30,5
A,2025-08-01,Friday,07:00,11
A,2025-08-01,Friday,07:30,17
A,2025-08-01,Friday,08:00,52
A,2025-08-01,Friday,08:30,92
A,2025-08-01,Friday,09:00,133
A,2025-08-01,Friday,09:30,170
A,2025-08-01,Friday,10:00,185
A,2025-08-01,Friday,10:30,236
A,2025-08-01,Friday,11:00,246
A,2025-08-01,Friday,11:30,252
A,2025-08-01,Friday,12:00,263
A,2025-08-01,Friday,12:30,259
A,2025-08-01,Friday,13:00,255
A,2025-08-01,Friday,13:30,264
A,2025-08-01,Friday,14:00,262
A,2025-08-01,Friday,14:30,277
A,2025-08-01,Friday,15:00,267
A,2025-08-01,Friday,15:30,276
A,2025-08-01,Friday,16:00,265
A,2025-08-01,Friday,16:30,248
A,2025-08-01,Friday,17:00,215
A,2025-08-01,Friday,17:30,189
A,2025-08-01,Friday,18:00,169
A,2025-08-01,Friday,18:30,139
A,2025-08-01,Friday,19:00,94
A,2025-08-01,Friday,19:30,71
A,2025-08-01,Friday,20:00,56
A,2025-08-01,Friday,20:30,45
A,2025-08-01,Friday,21:00,32
A,2025-08-01,Friday,21:30,23
A,2025-08-01,Friday,22:00,22
A,2025-08-01,Friday,22:30,15
A,2025-08-01,Friday,23:00,12
A,2025-08-01,Friday,23:30,9
A,2025-08-02,Saturday,00:00,7
A,2025-08-02,Saturday,00:30,5
A,2025-08-02,Saturday,01:00,3
A,2025-08-02,Saturday,01:30,2
A,2025-08-02,Saturday,02:00,1
A,2025-08-02,Saturday,02:30,2
A,2025-08-02,Saturday,03:00,1
A,2025-08-02,Saturday,03:30,1
A,2025-08-02,Saturday,04:00,1
A,2025-08-02,Saturday,04:30,1
A,2025-08-02,Saturday,05:00,1
A,2025-08-02,Saturday,05:30,1
A,2025-08-02,Saturday,06:00,2
A,2025-08-02,Saturday,06:30,3
A,2025-08-02,Saturday,07:00,7
A,2025-08-02,Saturday,07:30,12
A,2025-08-02,Saturday,08:00,34
A,2025-08-02,Saturday,08:30,56
A,2025-08-02,Saturday,09:00,78
A,2025-08-02,Saturday,09:30,93
A,2025-08-02,Saturday,10:00,117
A,2025-08-02,Saturday,10:30,146
A,2025-08-02,Saturday,11:00,169
A,2025-08-02,Saturday,11:30,168
A,2025-08-02,Saturday,12:00,183
A,2025-08-02,Saturday,12:30,198
A,2025-08-02,Saturday,13:00,191
A,2025-08-02,Saturday,13:30,189
A,2025-08-02,Saturday,14:00,180
A,2025-08-02,Saturday,14:30,182
A,2025-08-02,Saturday,15:00,179
A,2025-08-02,Saturday,15:30,182
A,2025-08-02,Saturday,16:00,173
A,2025-08-02,Saturday,16:30,156
A,2025-08-02,Saturday,17:00,144
A,2025-08-02,Saturday,17:30,122
A,2025-08-02,Saturday,18:00,117
A,2025-08-02,Saturday,18:30,99
A,2025-08-02,Saturday,19:00,75
A,2025-08-02,Saturday,19:30,58
A,2025-08-02,Saturday,20:00,46
A,2025-08-02,Saturday,20:30,37
A,2025-08-02,Saturday,21:00,27
A,2025-08-02,Saturday,21:30,21
A,2025-08-02,Saturday,22:00,14
A,2025-08-02,Saturday,22:30,10
A,2025-08-02,Saturday,23:00,9
A,2025-08-02,Saturday,23:30,6
A,2025-08-03,Sunday,00:00,3
A,2025-08-03,Sunday,00:30,4
A,2025-08-03,Sunday,01:00,2
A,2025-08-03,Sunday,01:30,3
A,2025-08-03,Sunday,02:00,1
A,2025-08-03,Sunday,02:30,1
A,2025-08-03,Sunday,03:00,1
A,2025-08-03,Sunday,03:30,1
A,2025-08-03,Sunday,04:00,1
A,2025-08-03,Sunday,04:30,0
A,2025-08-03,Sunday,05:00,0
A,2025-08-03,Sunday,05:30,2
A,2025-08-03,Sunday,06:00,3
A,2025-08-03,Sunday,06:30,2
A,2025-08-03,Sunday,07:00,5
A,2025-08-03,Sunday,07:30,6
A,2025-08-03,Sunday,08:00,12
A,2025-08-03,Sunday,08:30,14
A,2025-08-03,Sunday,09:00,20
A,2025-08-03,Sunday,09:30,25
A,2025-08-03,Sunday,10:00,25
A,2025-08-03,Sunday,10:30,38
A,2025-08-03,Sunday,11:00,33
