Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,355.65,44,0,0.0,317.41,86,0,0.0023,349.83,46,0,0.0047,326.68
August,1,0:30,5,0,0.0,342.04,31,0,0.0,280.55,57,0,0.0069,306.7,31,0,0.0021,301.66
August,1,10:00,183,1,0.0051,319.57,369,3,0.0079,326.18,893,12,0.0129,322.7,407,6,0.0144,299.15
August,1,10:30,234,1,0.0064,320.51,412,9,0.0223,324.06,992,21,0.0209,326.89,440,11,0.0249,313.18
August,1,11:00,244,0,0.0019,317.65,449,6,0.0144,326.73,1056,10,0.0097,333.89,469,10,0.0206,314.41
August,1,11:30,251,1,0.0024,322.25,496,15,0.0304,342.82,1104,11,0.0096,332.94,505,10,0.019,313.33
August,1,12:00,264,2,0.0081,309.16,562,9,0.0167,333.87,1130,24,0.0208,334.81,513,10,0.0189,310.08
August,1,12:30,257,2,0.0076,322.8,547,10,0.0182,340.55,1126,19,0.0167,339.7,524,6,0.0113,322.03
August,1,13:00,254,2,0.0094,334.38,568,7,0.0115,331.79,1099,11,0.0101,343.37,512,10,0.0189,318.54
August,1,13:30,263,1,0.0032,325.68,573,9,0.0153,330.14,1104,16,0.0147,344.55,530,10,0.0185,321.89
August,1,14:00,260,1,0.0036,319.47,597,11,0.0178,340.43,1137,15,0.0131,344.77,544,10,0.0189,317.83
August,1,14:30,275,1,0.0054,327.67,616,13,0.0203,341.47,1120,19,0.0169,344.39,546,18,0.0321,326.6
August,1,15:00,265,2,0.0093,316.56,619,7,0.0106,346.41,1108,15,0.0139,345.18,537,18,0.0331,328.14
August,1,15:30,272,4,0.0155,324.16,609,14,0.0238,338.32,1099,42,0.0379,345.91,528,30,0.0567,323.88
August,1,16:00,263,1,0.0026,332.49,611,11,0.018,350.66,1093,22,0.0202,346.7,564,17,0.0298,325.13
August,1,16:30,247,1,0.0026,331.92,585,6,0.0108,339.08,1040,9,0.0083,348.32,531,8,0.0153,319.22
August,1,17:00,216,1,0.0065,326.43,563,6,0.0111,342.4,978,7,0.0076,344.82,492,4,0.0083,333.6
August,1,17:30,188,1,0.0078,325.67,514,4,0.0079,346.07,902,8,0.0084,346.31,450,8,0.0172,321.97
August,1,18:00,168,1,0.0062,318.31,481,7,0.0138,347.12,796,9,0.0119,349.44,404,3,0.0067,318.74
August,1,18:30,139,1,0.0061,348.29,416,4,0.0103,339.24,725,4,0.0055,348.2,354,4,0.0109,313.5
August,1,19:00,93,0,0.0037,355.06,393,8,0.0201,337.27,635,6,0.0099,338.74,316,5,0.0158,320.1
