Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,45,0,0.0,316.66,86,0,0.0011,347.55,46,0,0.0026,325.27
August,1,0:30,5,0,0.0,328.23,30,0,0.0,291.99,59,0,0.0047,318.98,32,0,0.0,304.75
August,1,10:00,192,1,0.0036,318.01,367,2,0.0054,330.64,905,10,0.0105,322.71,409,6,0.0136,302.41
August,1,10:30,234,1,0.0044,321.14,413,6,0.0157,328.16,1004,18,0.0182,328.58,446,10,0.0223,313.39
August,1,11:00,249,0,0.0015,321.83,451,6,0.0125,331.74,1070,5,0.0051,335.33,476,6,0.0134,314.06
August,1,11:30,256,0,0.0017,324.54,497,14,0.0282,345.4,1118,9,0.0082,333.44,508,10,0.0194,317.54
August,1,12:00,264,2,0.0063,309.98,553,5,0.0098,336.05,1145,19,0.0167,335.67,520,9,0.0171,311.72
August,1,12:30,262,2,0.0061,323.22,557,8,0.0136,344.63,1142,19,0.0167,340.4,526,6,0.0112,324.18
August,1,13:00,260,2,0.0092,329.46,570,7,0.0115,336.64,1122,11,0.0096,344.59,522,10,0.019,320.97
August,1,13:30,266,1,0.0027,327.38,576,9,0.0149,334.69,1124,13,0.0115,344.92,536,8,0.0157,321.75
August,1,14:00,268,0,0.0017,318.77,602,11,0.0176,344.86,1150,13,0.0114,345.48,550,7,0.0122,317.02
August,1,14:30,278,1,0.005,327.79,615,12,0.0196,341.6,1140,14,0.0121,344.74,551,16,0.0284,324.72
August,1,15:00,273,2,0.0069,316.3,622,4,0.0066,346.79,1127,13,0.0117,345.2,546,14,0.0259,327.76
August,1,15:30,277,3,0.0112,326.83,613,5,0.0086,340.58,1119,19,0.0169,346.46,544,13,0.0248,321.12
August,1,16:00,268,1,0.0025,331.17,613,6,0.0104,352.19,1105,6,0.0058,348.15,563,6,0.011,326.04
August,1,16:30,250,1,0.0023,330.59,590,5,0.0092,342.25,1057,5,0.0043,348.59,536,7,0.0122,319.68
August,1,17:00,219,1,0.006,330.23,563,5,0.0092,344.49,991,7,0.0068,344.52,497,4,0.0077,332.68
August,1,17:30,193,1,0.0051,326.69,519,4,0.0081,349.55,912,6,0.0071,347.39,456,7,0.0155,321.81
August,1,18:00,170,1,0.0046,320.23,479,7,0.0137,351.95,814,7,0.0089,349.06,412,2,0.0052,316.61
August,1,18:30,139,1,0.0063,347.32,422,3,0.0081,336.4,734,3,0.0046,347.39,362,4,0.0106,314.15
August,1,19:00,98,0,0.0034,349.3,390,6,0.0157,340.1,647,6,0.0089,340.22,321,5,0.0156,318.96
August,1,19:30,73,0,0.0026,325.21,337,2,0.0062,324.77,567,5,0.0086,347.3,287,7,0.024,322.5
August,1,1:00,4,0,0.0,328.23,14,0,0.0174,362.1,44,0,0.0112,332.11,25,0,0.0046,358.88
August,1,1:30,3,0,0.0,328.23,8,0,0.0236,362.1,31,0,0.0,302.66,18,0,0.0182,316.69
August,1,20:00,57,0,0.0075,340.58,289,3,0.0111,334.83,484,9,0.0183,342.31,246,7,0.0278,316.31
August,1,20:30,45,1,0.0167,306.58,260,3,0.0118,340.04,415,3,0.0063,333.74,216,2,0.0112,308.5
August,1,21:00,33,1,0.0236,326.06,220,2,0.0103,332.18,343,1,0.0026,339.2,177,10,0.0571,325.55
August,1,21:30,25,0,0.0036,324.62,181,2,0.0107,318.64,281,1,0.0035,336.2,156,6,0.0407,324.14
August,1,22:00,22,0,0.0,322.97,138,0,0.0031,328.83,229,1,0.0034,339.38,127,1,0.0085,314.2
August,1,22:30,16,3,0.1658,377.49,111,0,0.0024,304.68,179,0,0.0013,334.56,102,1,0.0053,304.57
August,1,23:00,13,1,0.1031,328.23,83,0,0.0018,323.5,137,0,0.0,321.6,80,0,0.003,301.03
August,1,23:30,10,1,0.0718,328.23,67,1,0.009,320.14,108,0,0.0,304.41,61,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,6,0,0.0,362.1,21,1,0.0247,324.21,12,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,5,0,0.0,362.1,22,1,0.0302,333.01,9,0,0.0077,326.6
August,1,3:00,1,0,0.0,328.23,6,0,0.0,362.1,17,0,0.0232,348.75,4,0,0.0617,326.6
August,1,3:30,2,0,0.0,328.23,5,0,0.0,362.1,17,0,0.0,348.75,2,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,4,0,0.0,362.1,15,0,0.0111,348.75,1,0,0.0,326.6
August,1,4:30,1,0,0.0,328.23,4,0,0.0,362.1,16,0,0.0059,327.59,1,0,0.0,326.6
August,1,5:00,2,0,0.0,328.23,4,0,0.0,362.1,19,0,0.0106,306.22,2,0,0.0,326.6
August,1,5:30,2,0,0.0,328.23,4,0,0.0,362.1,23,0,0.0108,329.07,3,0,0.0,326.6
August,1,6:00,3,0,0.0333,328.23,6,1,0.1486,362.1,40,0,0.0,289.2,13,0,0.0067,326.6
August,1,6:30,5,2,0.4581,328.23,12,9,0.7425,362.1,66,2,0.0328,269.33,28,2,0.0875,266.35
August,1,7:00,11,2,0.2107,328.23,38,0,0.0128,258.84,110,1,0.0078,274.99,48,1,0.0146,263.61
August,1,7:30,21,3,0.1361,347.33,63,2,0.0363,283.99,184,3,0.0158,269.27,83,1,0.0145,285.84
August,1,8:00,53,0,0.0043,283.37,116,0,0.0012,280.9,319,2,0.0048,289.03,144,1,0.0103,272.24
August,1,8:30,93,0,0.0025,291.36,167,1,0.0089,304.4,456,2,0.0033,308.38,203,4,0.0176,291.01
August,1,9:00,134,0,0.0008,307.96,239,2,0.0068,316.56,630,2,0.0027,314.14,275,2,0.0067,289.27
August,1,9:30,170,1,0.0053,310.78,300,2,0.0076,321.18,792,5,0.0067,306.58,346,7,0.0214,305.55
August,2,0:00,7,0,0.0409,316.72,50,1,0.0191,295.17,75,1,0.0077,322.45,44,0,0.0045,306.86
August,2,0:30,5,0,0.0,316.72,32,0,0.0,324.39,58,0,0.0,323.56,31,0,0.0035,316.98
August,2,10:00,119,1,0.0053,294.11,244,3,0.0103,309.35,572,2,0.0032,312.27,255,3,0.0122,293.97
August,2,10:30,147,0,0.0034,292.68,282,8,0.0282,319.76,646,3,0.0046,324.69,296,9,0.031,295.59
August,2,11:00,168,1,0.0064,300.93,324,3,0.0102,321.93,697,4,0.0051,326.7,333,5,0.0149,303.68
